"id","title","max_execution_time","description","law_reference","course_contents","video_link","brochure_pdf_filename","server_brochure_pdf_filename","didactics","course_professors","ask_all_the_questions","percentage_correct_answer_to_pass","creation_date","owner_user_id","code","producers","ecommerce_image_filename","course_code","version","customers","max_duration","total_duration","total_elearning","external_integration","course_validity","subcategory_id","type_id","closed","deleted","custom","requirements","targets","checking"
"36","RLS - agg. 8 ore","180","<p>Corso di aggiornamento per rappresentanti dei lavoratori per la sicurezza (rls). Il corso &egrave; suddiviso in due moduli</p>
",,,,,,"Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l'aspetto comunicativo.","0","80","2012-10-17 20:42:39","6","1156d3ded1e78726ac88","Tutor81","1156d3ded1e78726ac88e396994080bcd9f62481",,,"rls aziende sopra i 50 dipendenti","180","8","8",,,"13","3","0","1","0",,,
"37","Lavoratore Aggiornamento","0",,,,,,,,,"0","80","2012-10-23 08:24:24","6","bb85c063eeda535bef69",,"bb85c063eeda535bef69360a2b3697d4aa01036e",,,,"0",,,,,"0","0","0","1","0",,,
"38","Lavoratore Agg. 6 ore","180",,"Decreto 81 art. 36-37 - Acc. Stato Regioni 26.01.2012",,,,,"Metodo Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l' aspetto comunicativo.","0","80","2012-10-23 08:46:27","6","5c53bebcfb0a41b5a770","Tutor81","5c53bebcfb0a41b5a77066fb1c1b982ffbf919c0","ELA01",,"Per i lavoratori che hanno già ricevuto una formazione precedente all' Accordo di Stato Regioni (un anno prima del 26.1.2012)","180 min.","6 ore","6 ore","Non necessaria","Aggiornamento quinquiennale","0","0","0","1","0",,,
"39","Lavoratore Agg. 6 ore","180",,"Decreto 81 art. 36-37 - Acc. Stato Regioni 26.01.2012",,,,,"Metodo Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l' aspetto comunicativo.","0","80","2012-10-23 08:46:35","6","5c53bebcfb0a41b5a770","Tutor81","5c53bebcfb0a41b5a77066fb1c1b982ffbf919c0",,,"Per i lavoratori che hanno già ricevuto una formazione precedente all' Accordo di Stato Regioni (un anno prima del 26.1.2012)","180","6","6","Non necessaria","Aggiornamento quinquiennale","8","3","0","1","0",,,
"40","TESTFLV","0","<p>
	corso con solo file .flv</p>
",,,,,,,,"0","80","2012-10-24 07:08:15","6","24eb028347a6b896a07a",,"24eb028347a6b896a07a45b8f3ce1140d1fa6530",,,,"0",,,,,"0","0","1","1","0",,,
"41","TESTFLV","0","<p>
	corso con solo file .flv</p>
",,,,,,,,"0","80","2012-10-24 07:08:20","6","24eb028347a6b896a07a",,"24eb028347a6b896a07a45b8f3ce1140d1fa6530",,,,"0",,,,,"0","0","1","1","0",,,
"42","RLS NUOVO 32 ore","180","<p>&nbsp;</p>

<p>Il corso ha l&#39;obbiettivo di formare neo nominati alla figura di Rappresentante dei Lavoratori per la Sicurezza e risponde al comma 11 del Decreto Leg. 81/2008. Fruibile interamente online prevede la trattazione dei seguenti argomenti:</p>

<p>&nbsp;</p>

<p>MODULO 1: PRINCIPI GIURIDICI.</p>

<p>MODULO 2: LEGISLAZIONE SPECIALE.</p>

<p>MODULO 3: PRINCIPALI SOGGETTI COINVOLTI E RELATIVI OBBLIGHI.</p>

<p>MODULO 4: DEFINIZIONE E INDIVIDUAZIONE DEI FATTORI DI RISCHIO.</p>

<p>MODULO 5: VALUTAZIONE DEI RISCHI.</p>

<p>MODULO 6: INDIVIDUAZIONE DELLE MISURE TECNICHE, ORGANIZZATIVE E PROCEDURALI DI PREVENZIONE E ROTEZIONE.</p>

<p>MODULO 7: ASPETTI NORMATIVI DELL&#39; ATTIVITA&#39; DI RAPPRESENTAZIONE DEI LAVORATORI.</p>

<p>MODULO 8: NOZIONI DI TECNICA DELLA COMUNICAZIONE.</p>

<p>MODULO 9: I RISCHI PRESENTI NELLE ATTIVITA&#39;</p>
","art.37 comma 10 Dlgs 81/08",,,,,"Il metodo Tutor81 prevede una percentuale minima pari al 60% di filmati e l'integrazione di slide interattive. In ogni oggetto multimediale è inserita uno o più test (temporizzati) rilasciati in modalità random.","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-11-02 05:36:53","6","873e6d90b66c0ae41911","Tutor81","873e6d90b66c0ae419112c0c5039be4518c47d52",,,"neo nominati rappresentanti dei lavoratori per la sicurezza","180","32","32","non necessaria",,"13","3","0","0","0",,,
"43","RLS Agg. 4 ore","360","<p>
	Il corso propone quanto previsto dall&#39; art. 37 comma 10 del Decreto 81, aggiornando l&#39; RLS alle novit&agrave; emanate nell&#39; anno trascorso, il corso &egrave; cosi composto:</p>
<p>
	Modulo 1 - Principi giuridici e comunitari.</p>
<p>
	Modulo 2 - Le varie figure dell&#39; organizzanione aziendale con particolare riferimento alla figura dell&#39; RLS.</p>
<p>
	Modulo 3 - Valutazione dei rischi e novit&agrave; introdotte al Decreto 81/08.</p>
","art.37 comma 10 Dlgs 81/08",,,,,"Il metodo Tutor81 prevede una percentuale minima pari al 60% di filmati e l'integrazione di slide interattive. In ogni oggetto multimediale è inserita uno o più test (temporizzati) rilasciati in modalità random.","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-11-06 03:24:29","6","b7f768ab613f357c95de","Tutor81","b7f768ab613f357c95de524d6ff5645d3db9b86a","EL07A4","00","Corso di aggiornamento annuale per il rappresentante dei lavoratori per la sicurezza di aziende con meno di 50 dipendenti","360","4 ore","4 ore","non necessaria","aggiornamento annuale","0","0","0","1","0",,,
"44","RLS - AggIORNAMENTO - 4 ORE","180","<p><strong>Questo corso &egrave; possibile solo per il settore del commercio.</strong></p>

<p>L&rsquo;obbiettivo del corso &egrave; l&rsquo;aggiornamento della funzione e dei compiti dell&rsquo;rls al fine di integrare le conoscenze acquisite le novit&agrave; della materia.</p>

<p>Il programma del corso prevede i seguenti moduli:</p>

<p>​</p>

<ol>
	<li>
	<p><strong>MODULO 1 Principi giuridici e comunitari</strong></p>
	Durata:0 oreDescrizione:<br />
	Modifica modulo&nbsp;
	<p>LEZIONI INSERITE</p>

	<ul>
		<li>Lezione 1: Lezione introduttiva
		<ul>
			<li>(305)Funzionamento del corso in e-Learning(3 min)</li>
			<li>(79)Introduzione al Decreto 81(6 min)</li>
		</ul>
		</li>
		<li>Lezione 2: Normativa in materia di salute e sicurezza sul lavoro e evoluzione
		<ul>
			<li>(295)Principi giuridici(3 min)</li>
		</ul>
		</li>
	</ul>
	</li>
	<li>
	<p><strong>MODULO 2: Modulo 2: Le figure dell&#39; organizzazione aziendale con particolare riferimento ai compiti previsti per l&#39; Rls&nbsp;</strong></p>
	Durata:0 oreDescrizione:<br />
	Modifica modulo&nbsp;
	<p>LEZIONI INSERITE</p>

	<ul>
		<li>Lezione 1: L&#39; Rls compiti e funzioni
		<ul>
			<li>(342)Funzioni del RLS(21 min)</li>
			<li>(341)Funzioni del RLS - Parte2(19 min)</li>
		</ul>
		</li>
		<li>Lezione 2: Le figure dell&#39; organizzazione aziendale&nbsp;
		<ul>
			<li>(298)Le figure organizzazione aziendale - Parte A(20 min)</li>
			<li>(299)Le figure organizzazione aziendale - Parte B(20 min)</li>
			<li>(164)LA RIUNIONE PERIODICA(4 min)</li>
			<li>(84)PREPOSTO: Definizione(5 min)</li>
			<li>(85)PREPOSTO: Compiti e responsabilit&agrave;(9 min)</li>
			<li>(371)RLS di fronte ai problemi dei DPI(12 min)</li>
			<li>(87)La sorveglianza sanitaria(16 min)</li>
		</ul>
		</li>
	</ul>
	</li>
	<li>
	<p><strong>MODULO 3: MODULO 3: Novit&agrave; introdotte al Decreto 81</strong></p>
	Durata:0 oreDescrizione:<br />
	Modifica modulo&nbsp;
	<p>LEZIONI INSERITE</p>

	<ul>
		<li>Lezione 1: Concetti di rischio
		<ul>
			<li>(111)Concetti di danno, rischio e pericolo(6 min)</li>
			<li>(168)Definizione rischio e pericolo(4 min)</li>
		</ul>
		</li>
		<li>Lezione 2: Novit&agrave; introdotte al Decreto 81
		<ul>
			<li>(89)DVR - Cos&#39;&egrave;(11 min)</li>
			<li>(12)Gli organi di vigilanza e controllo(5 min)</li>
			<li>(157)Sostanze stupefacent,i alcol e la sorveglianza sanitaria - Debora Brisigotti(20 min)</li>
			<li>(156)CRITERI E INDIVIDUAZIONE RISCHI: Il rischio stress lavoro-correlato (Dott.ssa Brisigotti)(19 min)</li>
			<li>(303)Procedure di emergenza e evacuazione(8 min)<br />
			&nbsp;</li>
		</ul>
		</li>
	</ul>
	</li>
</ol>
","Art.37 comma 10 D.Lgs. 81/08",,,,,"TUTOR81 LMS è una piattaforma LMS con sistema di tracciamento proprietario, conforme alla normativa attualmente in vigore (Accordo Stato Regioni del 7 luglio 2016) in tema di formazione e-learning riguardante la tutela della sicurezza e della salute dei lavoratori. Ogni corso con Tutor81 è monitorato rispettando i requisiti previsti dall’Allegato 2 Accordo Stato Regioni 07.07.2016 al termine di ogni corso è quindi possibile certificare e documentare quanto segue: • Lo svolgimento e il completamento delle attività didattiche di ciascun utente • Le modalità e il superamento delle valutazioni di apprendimento • La partecipazione attiva del discente; • La tracciabilità di ogni attività svolta durante il collegamento al sistema e la durata; • La tracciabilità dell’utilizzo anche delle singole unità didattiche. la regolarità e la progressività di utilizzo del sistema da parte dell’utente; ","I relatori/docenti che hanno contribuito alla redazione dei contenuti di ciascuna unità didattica sono in possesso dei requisiti previsti dal decreto interministeriale del 6 marzo 2013 “Criteri di qualificazione della figura del formatore per la salute e sicurezza nei luoghi di lavoro”.","0","80","2012-11-06 03:24:29","6","b7f768ab613f357c95de","Il discente ha la disponibilità dei profili di competenza per la gestione didattica e tecnica E-learning quali: • Responsabile scientifico dei corsi: • Mentor di contenuto • Sviluppatore della piattaforma • Tutor di processo","b7f768ab613f357c95de524d6ff5645d3db9b86a",,,"Aggiornamento formazione RLS Az. < 50 dip.","180","4","4","Non necessaria","Annuale","13","3","0","0","0","corso di base 32 ore per RLS","Aggiornamento e novità intervenute in materia nell'anno","La verifica di apprendimento principale privilegiata nell’ambiente Tutor81 è la verifica in in itinere. Si tratta di test a tempo trasmessi frequentemente e con lo scopo non solo di controllare la presenza del partecipante ma di stimolarne l’attenzione. Il corsista riceve immediato riscontro alla risposta rilasciata. Ogni quesito viene tracciato dal sistema e riportato nell'attestato finale. I test sono trasmessi in modalità random, ciò significa che per la stessa domanda esistono varie alternative. In caso il risultato finale dei test, sia inferiore alla soglia minima prevista dei test corretti, l’attestato non viene generato dal sistema. Il soggetto formatore valuterà le modalità che riterrà più idonee per approfondire gli errori e rivalutarne l’apprendimento."
"45","RLS Agg. 8 ore","0",,"art. 37 comma 10 Dlgs 81/08",,,,,,"Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l'aspetto comunicativo.","0","80","2012-11-06 04:39:15","6","ba5f8286031f3db7b8b1","TUTOR 81","ba5f8286031f3db7b8b101044bd2d8e68fc46834","EL07A8",,"Corso di aggiornamento annuale per il rappresentante dei lavoratori per la sicurezza di aziende con meno di 50 dipendenti.","0",,"8 ore","non necessaria","8 ore","0","0","0","1","0",,,
"46","DIRIGENTE NUOVO 16","6","<p>
	&nbsp;</p>
<p style=""margin: 0px; font-size: 9.1px; font-family: Helvetica; "">
	La formazione dei dirigenti, cosi&#39; come definiti dall&#39;articolo 2, comma 1, lettera d), del D. Lgs. n. 81/08, in&nbsp; riferimento&nbsp; a&nbsp; quanto previsto all&#39;articolo 37,&nbsp; comma&nbsp; 7,&nbsp; del&nbsp; D.&nbsp; Lgs.&nbsp; n.&nbsp; 81/08&nbsp; e&nbsp; in relazione&nbsp; agli&nbsp; obblighi&nbsp; previsti &nbsp; all&#39;articolo &nbsp; 18 &nbsp; sostituisce integralmente quella prevista per i lavoratori ed e&#39;&nbsp; strutturata&nbsp; in quattro moduli aventi i seguenti contenuti minimi:&nbsp;</p>
<p style=""margin: 0px; font-size: 9.1px; font-family: Helvetica; "">
	MODULO 1. GIURIDICO - NORMATIVO&nbsp;</p>
<p style=""margin: 0px; font-size: 9.1px; font-family: Helvetica; "">
	MODULO 2. GESTIONE ED ORGANIZZAZIONE DELLA SICUREZZA</p>
<p style=""margin: 0px; font-size: 9.1px; font-family: Helvetica; "">
	MODULO 3. INDIVIDUAZIONE E VALUTAZIONE DEI RISCHI</p>
<p style=""margin: 0px; font-","articolo 37,  comma  7,  del  D.  Lgs.  n.  81/08",,,,,,"Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-11-06 09:12:48","6","9f0494dfcc2e9f4c2e1a","Tutor81","9f0494dfcc2e9f4c2e1a0ece79d57f071d6bdc15","EL03",,"Dirigenti prima formazione","6 mesi dall' acquisto min.","16 ore","16 ore","non necessaria","Aggiornamento quinquennale","0","0","0","1","0",,,
"47","CORSO DIRIGENTE 16","180","<p>
	&nbsp;</p>
<p>
	La formazione dei dirigenti, cosi&#39; come definiti dall&#39;articolo 2, comma 1, lettera d), del D. Lgs. n. 81/08, in&nbsp; riferimento&nbsp; a&nbsp; quanto previsto all&#39;articolo 37,&nbsp; comma&nbsp; 7,&nbsp; del&nbsp; D.&nbsp; Lgs.&nbsp; n.&nbsp; 81/08&nbsp; e&nbsp; in relazione&nbsp; agli&nbsp; obblighi&nbsp; previsti&nbsp;&nbsp; all&#39;articolo&nbsp;&nbsp; 18&nbsp;&nbsp; sostituisce integralmente quella prevista per i lavoratori ed e&#39;&nbsp; strutturata&nbsp; in quattro moduli aventi i seguenti contenuti minimi:</p>
<p>
	<br p="""" />
	<strong>MODULO 1. GIURIDICO - NORMATIVO</strong></p>
<p>
	<strong>MODULO 2. GESTIONE ED ORGANIZZAZIONE DELLA SICUREZZA</strong></p>
<p>
	<strong>MODULO 3. INDIVIDUAZIONE E VALUTAZIONE DEI RISCHI</strong></p>
","Art. 37, comma 7, del D.Lgs. n. 81/08",,,,,"Tutor81","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l'aspetto comunicativo.","0","80","2012-11-06 09:54:36","6","6ec74c9530d107414fe0","Tutor81","6ec74c9530d107414fe0f77c031c6b7e994a2d5e","EL03","2","Dirigenti prima formazione","180","(16 ore)","16 ore","Non necessaria","Aggiornamento quinquennale","0","0","0","1","0",,,
"48","LAVORATORE AGG. 6 ORE","180","<p>
	&nbsp;</p>
<p style=""margin: 0px; font-size: 9.1px; font-family: 'Helvetica Neue'; "">
	Il corso si&nbsp; propone di aggiornare e stimolare quei lavoratori che hanno una formazione alla sicurezza e alla salute nei luoghi di lavoro acquisita recentemente. L&#39;obbiettivo &egrave; quindi riproporre i concetti e i fondamenti per la sicurezza con particolare riguardo alle novit&agrave; introdotte con gli aggiornamenti intervenuti al Decreto 81.&nbsp;</p>
<p style=""margin: 0px; font-size: 9.1px; font-family: 'Helvetica Neue'; "">
	Il corso si articola in due moduli:</p>
","Decreto 81 art. 36-37 - Acc. Stato Regioni 26.01.2012",,,,,"Il metodo Tutor81 prevede una percentuale minima pari al 60% di filmati e l'integrazione di slide interattive. In ogni oggetto multimediale è inserita uno o più test (temporizzati) rilasciati in modalità random.","Tutte le lezioni sono state progettate e scritte da docenti qualificati con esperienza almeno decennale nel settore di competenza. In alcuni casi i docenti sono stati sostituiti da attori per migliorare l’aspetto comunicativo.","0","80","2012-11-08 07:58:35","6","6c5fb9302932fc2b2825","Tutor 81","6c5fb9302932fc2b2825430c96cd4ea886996da2","el01a","1","LAVORATORI in aggiornamento ovvero che hanno già ricevuto una formazione precedente all’Accordo Stato Regioni (un anno prima del 26.1.2012)","180","6 ore","6 ore","non necessaria","la formazione è quinquiennale","0","0","0","1","0",,,
