Ragione sociale	Indirizzo	Telefono	Email	Abbonamento	Invia Attestato	
CENTROCAR SAS	VIA FRIULI 8 - PAESE - 31038		centrocar.severin@gmail.com	Az clienti		
CMP MEDICAL SRL	Via della Giuba 15 - Milano - 20132		amministrazione@cmpmedical.it	Az clienti		
COCCO SAS DI COCCO CRISTIAN & C.	Via J. Soranzo 9 - Castelfranco Veneto - 31033		info@coccotende.it	Az clienti		
CODALUNGA SRL	VIA MAZZINI 14 - VITTORIO VENETO - 31029		contact@codalunga.org	Az clienti		
CODEN CHIARA	VIA DEGLI ALPINI 3 - PONTE DI PIAVE - 31047		chiaracoden@icloud.com	Az clienti		 
COIN SERVICE NORD S.P.A.	VIA ANDREA COSTA n. 18 - CASTEL MAGGIORE - 40013		giuseppe.pagano@coinservice.it	Az clienti		
COIN SERVICE S.P.A.	VIA VOLONTARI DELLA LIBERTA', 33 - EMPOLI - 50053		personale@coinservice.it	Az clienti		
CONTARIN MICHAEL	Borgo Treviso, 104/a - Castelfranco Veneto - 31033			Az clienti		
CORATO ANNA	VIA MONTORIO 80 - VERONA - 37131		annacor@hotmail.com	Az clienti		
CRS CONSULTING SRL	Via Vicenza n.32 - 31050		info@crsconsulenza.it	CONSULENTI 500		
D4I S.R.L.	Piazza Europa Unita n. 60 - Castelfranco Veneto - 31033	0423 1855110	amministrazione@d4i.it	Az clienti		
DAL MONTE SRL	Via Verona, 4 - POVE DEL GRAPPA - 36020		elena@dalmonte.info	Az clienti		
DANIELA PERUCH TUBIANA	VIA DEL LAVORO 10 - VITTORIO VENETO - 31029		daniela@studiofinanziarioflaminio.it	Az clienti		
DANPAT SPORT SRL	P.zza del Quartiere Latino 12 - TREVISO - 31100		info@danpatsport.com	Az clienti		
DBI EUROPE S.R.L.	VIA BERNARDINO VERRO, 33/6 - MILANO - 20141		federica.caroli@dbi-europe.eu	Az clienti		
DE LONGHI APPLIANCES SRL	Via Duca d'Aosta 121 - Carbonera - 31030			Az clienti		
DE VIDI IVAN	Via Leonardo Ragusa 3F/4 - Mogliano Veneto - 31021		ivandevidi@gmail.com	Az clienti		
DECO SRL	Via Canova 3/A - RIESE PIO X - 31039		info@bjornrossano.it	Az clienti		
DINAMICHE S.N.C. DI SCARABELLOTTO DINA & C.	VIA MONTE GRAPPA 59 - CASTELFRANCO VENETO - 31033			Az clienti		
DOLCI SINFONIE DI VILLANOVA MICHELE	Piazza Vittorio Emanuele, 34 - Pieve di Soligo - 31053		michi.villanova@gmail.com	Az clienti		
DORO EDDA	Via Vittoria, 16 - Refrontolo - 31020		doroedda41@gmail.com	Az clienti		
EDUE S.N.C. DI CASARIN ENZO E C.	VIA PADOVA 13 - TREBASELEGHE - 35010		edue.ufficio.amministrazione@eduestampi.it	Az clienti		
ELEVEN STORE SRL	VIA DELLE MIMOSE, 5 - CASTELFRANCO VENETO - 31033		amministrazione@elevenstore.it	Az clienti		
ELLE EVENTS DI SANTIN LAURA	VIA CAVALLEGGERI DI TREVISO, 13 - TREVISO - 31100		info@elleevents.it	Az clienti		
EMPORIO CARNI SRL	VIA MADEAN 5 - VALDOBBIADENE - 31049		fornitori@salumidestefani.it	Az clienti		
ENERGIA GIUSTA SRL	Via del Casale Solaro n 119		claudia.borsato@energiagiusta.it	Az clienti		
EQUILIBRIO DOTTORI COMMERCIALISTI ASSOCIATI	Piazza Serenissima, 60 - Castelfranco Veneto - 31033		a.favrin@equilibrioassociati.it	Az clienti		
EURICLEA SRL	Piazzale Libia, 7 - MILANO - 20135		amministrazione@euriclea.com	Az clienti		
EUROTRADE S.R.L.	VIA FERRARI 1 - SCORZE' - 30037		alessandro@eurotradesrl.net	Az clienti		
F.LLI BONATO SRL	Via Roma, 20 - Resana - 31023		silviabonato@bonatonline.com	Az clienti		
F.LLI GUBERT SNC	Via Cappuccini, 65 - Bessica - LORIA - 31037		info@fratelligubert.it	Az clienti		
F2MLAB SRLS	Via Morello 7 - Castelfranco Veneto - 31033		mstocco@f2mlab.it	Az clienti		
FARMACIA PANCOTTO CHIARA	Piazza Flaminio, 10 - Vittorio Veneto - 31029		farmacia.pancottoc@gmail.com	Az clienti		
FAVRETTO LORIS COSTRUZIONI MECCANICHE	Via San Francesco d''Assisi, 11 - Castelfranco Veneto - 31033		favrettonella@gmail.com	Az clienti		
FISIOHOME STUDIO FISIOTERAPICO ASSOCIATO DI COSMA MARCO E PINTON CHIARA	Via A. Dalla Pozza, 35 - VICENZA - 36100		info@fisiohome.org	Az clienti		
FISIOSANITY SRL	Via Ruzzante, 24 - Piombino Dese - 35017		info@fisiosanity.com	Az clienti		
FRESCOLAT S.R.L.	VIA PAOLO VIGANO', 22 - CAERANO DI SAN MARCO - 31031		angelica.canesso@frescolat.it	Az clienti		
FURLAN RENATO	VIA FILZI 2/B - ISTRANA - 31036			Az clienti		
GESTIONE ALBERGHI E RISTORANTI S.R.L.	Via Castellana, 90 - Istrana - 31036		amministrazione@amg-spa.it	Az clienti		
GIULIO CIVIERO	VIA MERY DEL VAL, 10 - RIESE PIO X - 31039		giuliociviero@gmail.com	Az clienti		
HITEC CODE SRL	Via Giotto 22/C - San Martino di Lupari - 35018		annalisa@hitec.srl	Az clienti		
HITEC SOLUTIONS SRL	Via Giotto 22/C		annalisa@hitec.srl	Az clienti		
I TIGLI 2 SOCIETA' COOPERATIVA SOCIALE ONLUS	VIA VENETO 13 - GORGO AL MONTICANO - 31040		info@itigli2.com	Az clienti		
IFEX GROUP SRL	Via Del Lavoro, 13 - Vedelago - 31050		filippo.meneghetti@ifexgroup.it	Az clienti		
IMPRESA BULGARU SERGIU	Via Bennati, 23/A - Spinea - 30038		bulgarusergiu@libero.it	Az clienti		
INVENTRONICS S.R.L.	VIA CASTAGNOLE, 65/A - TREVISO - 31100		s.michieletto@inventronicsglobal.com	Az clienti		
KARINE' S.R.L.S.	VIA CONFINI DI ONARA 11 - CITTADELLA - 35013		esteticakarine@libero.it	Az clienti		
KEBAPCI AGA DI JASHARI ADMIR	Viale Rizzera, 399 - VITTORIO VENETO - 31029		admirjjj@gmail.com	Az clienti		
KRELAMP SRL	Via Antonio Pacinotti, 24 - Piombino Dese - 35017		romina.luisato@krelamp.it	Az clienti		
L'INCONTRO INDUSTRIA 4.0 S.C.S.	Via Ospedale, 10 - Castelfranco Veneto - 31033		l.carinato@lincontroindustria.it	Az clienti		
LA HUTA SNC DI AZZALINI ANNALISA & C.	LOCALITA' PIAN OSTERIA 1 - ALPAGO - 32016		lahuta1999@libero.it	Az clienti		
LUSIMA S.N.C. DI GOBBO LUIGINO E FIGLI	VIA TREVISO, 43 - TREBASELEGHE - 31050		info@lusima.com	Az clienti		
M & M DI PICCININ MARCO E DA DALT MARTA S.N.C.	Via Livel, 80 - Cappella Maggiore - 31012		marta.dd@libero.it	Az clienti		
MACELLERIA BRAIDO LUIGI S.N.C. DI BRAIDO CIRILLO & C.	Via Roma, 33 - Cordignano - 31016		braido.patrizia@gmail.com	Az clienti		
MAEBA INTERNATIONAL SRL	Via Alessandro Manzoni 14 - Vedelago - 31050	+39 0423 949356	savina@maebaint.it	Az clienti		
MAINTWELL SAS	via F.lli Kennedy, 13/b - Osnago - 23875			Az clienti		
MALVINAS S.N.C. DI CASELLI LARA MACARENA & C.	Via Vea, 66 - VITTORIO VENETO - 31029		05569000267	Az clienti		
MANIFATTURE TESSILI SRL	P.zza della Serenissima, 20 - Castelfranco Veneto - 31033		cristian.tiatto@orianshirt.com	Az clienti		
MEGGIO ROBERTO & C. SNC	Via V. Emanuele, 98 - GRIGNO - 38055		meggionicoletta@virgilio.it	Az clienti		
MELER EDY	Via Vittorio Veneto 24 - Pieve di Soligo - 31053		meleredy@gmail.com	Az clienti		
MISTER GELATO DI MONTAGNER VALENTINA	RIO TERRA' RICCARDO ROMIATI 12 - CAORLE - 30021		mistergelato@hotmail.it	Az clienti		
MODA FIORIN S.N.C. DI FIORIN F. & C.	Via Pontavai, 205 - VITTORIO VENETO - 31029		fiorinfiorenza@gmail.com	Az clienti		
MONTI GROUP SRL	VIA L. ARIOSTO 32 - MILANO - 20145		accounting@andreazza-castelli.it	Az clienti		
MUHAMMAD SAQLAIN MUSTAFA	Via Dante Alighieri, 3 - VITTORIO VENETO - 31029		saqlainmustafa9@gmail.com	Az clienti		
NEGOZI PELLIZZARI SRL UNIPERSONALE	Via Roma, 97/2 - Vedelago - 31050		m.berno@negozipellizzari.it	Az clienti		
NEGRO MATTEO	Via Col di Lana, 57 - VITTORIO VENETO - 31029		info@squisi.com	Az clienti		
OCCHIALEVENETO DI FIABANE EVA	Via G. Matteotti, 96 - VITTORIO VENETO - 31029		ottica@occhialeveneto.it	Az clienti		
OFFICINE CADAMURO SRL	Via Silvio Pellico n.38 - Loc.Pero - Breda di Piave (TV) - 31030			Az clienti		
OMFA INOX SRL	Via Jacopo Soranzo, 1 - Castelfranco Veneto - 31033			Az clienti		
OMNIA WEB ITALIA SRL	VIA CAVOUR 22 - VIGONZA - 35010		sara.pegollo@makingscience.com	Az clienti		
ORTOFRUTTA DOLOMITI SRLS	Via Maspiron, 80 - VITTORIO VENETO - 31029		admin@ortofruttadolomitisrls.it	Az clienti		
OSTERIA DEL MAJO DI TOFFOLIN RESI & C. S.A.S.	Via G. Paoletti, 16 - Follina - 31051		ViaG.Paoletti16	Az clienti		
P.C.P. SRL	Via San Francesco, 1/E - Tarzo - 31020		info@ilcapitello.com	Az clienti		
PALUDETTI MICHELE	Via Sant'Antonio da Padova, 19 - VITTORIO VENETO - 31029		michepalu@libero.it	Az clienti		
PEGASO INDUSTRIES SPA	Via Marconi 6 - Borgoricco - 35010		luca.bogana@pegasoindustries.com	Az clienti		
PERENZIN LATTERIA SRL	Via Cervano, 85 - Bagnolo - San Pietro di Feletto - 31020		emanuela@perenzin.com	Az clienti		
PET SOLUTIONS SPA	Via G. Marconi, 6 - Borgoricco - 35010		luca.bogana@pegasoindustries.com	Az clienti		
PHYSIOMED GROUP SRLS	Viale della Repubblica, 193/m - TREVISO - 31100			Az clienti		
PIANETA ALIMENTARE SRL	via Monte Grappa 33/35 - Vidor - 31020		amministrazione@pianetalimentare.it	Az clienti		
PLASTIC SYSTEMS SRL	Via Piovega, 17/D - Borgoricco - 35010		luca.bogana@pegasoindustries.com	Az clienti		
PODERI DUCALI RUFFINO SRL SOC. AGRICOLA	Via Formighe', 9/A - San Dona' di Piave - 30027		alberto.dallacqua@ruffino.it	Az clienti		
POLYMAXITALIA SRL	Via Fusina,12 Z.I. - Castelfranco Veneto - 31033	0423493544	claudio.mazzorato@polymaxitalia.it	Az clienti		
POSAEDIL DI TROVATO MAURIZIO	Via Chiesa 8 - CASALE SUL SILE - 31032		info@posaedil.it	Az clienti		
PRO-GEST S.P.A.	Via Castellana, 90 - ISTRANA - 31036		corsinovi@ondulatigiusti.it	Az clienti		
PUBLISCOOP EDITORE SRL	PIAZZA DELLA SERENISSIMA, 40/A - CASTELFRANCO VENETO - 31033		barbara.bortolon@publiscoop.it	Az clienti		
PUBLISCOOP PIU' S.R.L.	PIAZZA DELLA SERENISSIMA, 40/A - CASTELFRANCO VENETO - 31033		info@publiscoop.it	Az clienti		
PUNTO PLAST SRL	Via dell'Industria, 25 - VEDELAGO - 31050		info@puntoplastsrl.it	Az clienti		
RENERGY SOLUTION SRL	Via Valeselle, 6 - CASALE SUL SILE - 31032		Bellio@RenergySolution.it	Az clienti		
RESILIA SRL	Via C. Battisti, 12 - RIESE PIO X - 31039		l.menegon@resilia.srl	Az clienti		
REWARD SRL	VIALE EDOARDO JENNER 53 - MILANO - 20159		personale@myreward.it	Az clienti		
RISTORANTE 3409 FT DI BARDELLI SILVIA	Via Cinque sn c/o Aeroporto - Asiago - 36012		silvia@bardelli.org	Az clienti		
RISTORANTE AL GIARDINETTO S.N.C.	Via Roma, 5 - Colle Umberto - 31014		info@hotelalgiardinetto.com	Az clienti		
RISTORO AL CARMINE DI GEGAJ LEONARD	Via San Vito, 17 - MIANE - 31050		gegaj.leonard@icloud.com	Az clienti		
RONZON PAOLA	Borgo Vicenza 42 - Castelfranco Veneto - 31033		info@ronzon.it	Az clienti		
ROSSATO ARIANNA	Via Bortolato, 3 - Moniego di Noale - 30033		arianna.rossato@gmail.com	Az clienti		
SALUMI DE STEFANI SRL	Via Strada di Guia, 31 - Valdobbiadene - 31049		fornitori@salumidestefani.it	Az clienti		
SALUMIFICIO BRIANZA SRL	Via Luppia San Zeno, 35 - MONTAGNANA - 35044		walter@salumificiobrianza.it	Az clienti		
SAMAS S.A.S.	Via del Marangon, 12 - Colle Umberto - 31014		sabrina.galli@samas-it.com	Az clienti		
SERVIZI DELLA MARCA SRL	Via Padova, 12 - ODERZO - 31046	0422815112	amministrazione@vigilanzacarniel.it	Az clienti		
SFRISO ENRICO	Via XXIV Maggio, 55 - VITTORIO VENETO - 31029		ostesfriso@gmail.com	Az clienti		
SMILE TO MOVE - TRAINING SRL	Viale Brigata Treviso, 21/C - TREVISO - 31100		d.gomiero@smiletomove.it	Az clienti		
SOCIETA' AGRICOLA CROCE D'ORO S.S. DI DALESE DIEGO & C.	VIA STRADA BASSA, 7 - ALTIVOLE - 31030		amministrazione@agricrocedoro.it	Az clienti		
SOFTWELL SRL	Via Masaniello, 15 - Milano - 20152		chiara.rapido@softwell.it	Az clienti		
SOLIDATA LAZIO S.R.L.	Via Lega dei Dodici Popoli n. 7/a - Viterbo - 01100		paola.daghini@solidata.it	Az clienti		
SOLIDATA S.R.L.	Via Alcide De Gasperi n. 5 - Riese Pio x - 31039		paola.daghini@solidata.it	Az clienti		
STUDIO ASSOCIATO DI ARCHITETTURA ARCH. ERMANNO ZAMPROGNA & ARCH. MARCO SANTINON	VIA CIRO MENOTTI N. 34/B - TREBASELEGHE - 35010		ermanno.zamprogna@zs-associati.it	Az clienti		
STUDIO DE SANTI	VIA DOLOMITI 10/2 - SAN MARTINO DI LUPARI - 35018		segreteria@studiodesanti.com	Az clienti		
SURMONT SPA	VIA CAL LUSENT, 71 - PEDEROBBA - 31040		m.sartor@surmont.it	Az clienti		
T&S SNC DI BIZZOTTO ANNA & C.	Via De Muri 16/18 - Thiene - 36016		info@redoitcamicie.com	Az clienti		
TECNOSISTEMI S.N.C. DI ALESSANDRINI CRISTIAN	Via Pavani 33 - Monastier di Treviso - 31050		info@tecnosistemitv.it	Az clienti		
TECNOVI 1 S.R.L.	VIA GIORGIONE 6 - ALTIVOLE - 31030		cristian.mondin@tiscali.it	Az clienti		
TEKIMP SRL	Via dei Pini 21/f - Castelfranco Veneto - 31033			Az clienti		
TEMA SRL	Via dell'Industria 21 - VITTORIO VENETO - 31029		luisa.daros@iwisholding.com	Az clienti		
TESSITURA MONTI SPA	Via Saltore, 10 - Maserada sul Piave - 31052		vincenzo.iacobellis@monti.it	Az clienti		
TROPS SPA	Via Manzoni, 3/2 - Sarmeola di Rubano - 35030		m.martinello@trops.it	Az clienti		
UPSOLAR SYSTEM ITALIA S.R.L.	Viale Verdi, 23 - Treviso - 31100		mauro.borsoi@upsolar.com	Az clienti		
VEMA SRL	VIA COLMELLO 7 - VEDELAGO - 31050		c.verlino@negozipellizzari.it	Az clienti		
VENETO RICERCHE S.R.L.	Via Einaudi 64 - MESTRE - 30174		abaldan@venetoricerche.it	Az clienti		
VETRA S.R.L. SOC.UNIPERSONALE	Via Cornariola 3/b - TREBASELEGHE - 35010		fabio@vinicolavedovato.com	Az clienti		
VIGILANZA CARNIEL SRL	Via Padova, 12 - ODERZO - 31046	0422815112	amministrazione@vigilanzacarniel.it	Az clienti		
VILLA EMMA S.R.L.	Viale del Lavoro n. 1 - Cologna Veneta - 37044		roberto@poliambulatoriovillaemma.it	Az clienti		
VINICOLA VEDOVATO MARIO S.R.L.	VIA CORNARIOLA, 3/B - TREBASELEGHE - 35010		fabio@vinicolavedovato.com	Az clienti		
VISENTIN GIUSEPPE DI VISENTIN ANDREA & C. S.N.C.	Viale della Vittoria, 257 - VITTORIO VENETO - 31029		info@abbigliamentovisentin.it	Az clienti		
VOLATA SRL	Via Valentino Bernardi, 8/A - RIESE PIO X - 31039		amministrazione@volata.eu	Az clienti		
VUDAFIERI ANTONIO & FIGLI S.R.L.	VIA KENNEDY 7/G - RIESE PIO X - 31039		amministrazione@vudafieri.it	Az clienti		
WEGMA S.R.L.	VIA DEL LAVORO 17 - VIGODARZERE - 35010		elena.de.michiel@wegma.com	Az clienti		
ZANDARIN ALESSANDRO	Via Postioma 17 - RIESE PIO X - 31039		studio@equilibrioassociati.it	Az clienti		
ZANDONA' LUIGI SRL	VIA CIRCONVALLAZIONE EST, 25 - CASTELFRANCO VENETO - 31033			Az clienti		
ZANELLATO LISA	Via Campardo, 13 - Castelfranco Veneto - 31033			Az clienti		
ZANETTE ANTONELLA	Via Livel, 63 - Cappella Maggiore - 31012		anto.zanette@libero.it	Az clienti		
ZEROBYTE S.R.L.	Via Vicenza, 32 - Vedelago - 31050		acquisti@zerobytesrl.it	Az clienti		
ZIMMER DENTAL ITALY SRL	VIALE ITALIA 205/D - CONEGLIANO - 31015		barbara.covre@ZimVie.com	Az clienti		
