;;;;;;;;
;Tipo;ID;Nome Corso;;;;;
;Agg.;249;DATORE DI LAVORO RSPP - AGGIORNAMENTO - RISCHIO MEDIO - 10 ORE;;;;;
;Agg.;250;DATORE DI LAVORO RSPP - AGGIORNAMENTO - RISCHIO ALTO -14 ORE;;;;;
;Agg.;276;DATORE DI LAVORO RSPP - AGGIORNAMENTO - RISCHIO BASSO - 6 ORE;;;;;
;Agg.;301;DATORE DI LAVORO RSPP - AGGIORNAMENTO 8 ORE - 2025;;;;;
;RSPP;;;;;;;
;Base;256;RSPP - BASE - MODULO A - 28 ORE;;;;;
;Agg.;257;RSPP CORSO DI AGGIORNAMENTO. 40 ORE;;;;;
;ASPP;;;;;;;
;Agg.;258;ASPP - AGGIORNAMENTO 20 ORE;;;;;
;RLS;;;;;;;
;Base;271;RLS - BASE - 32 ORE;;;;;
;Agg.;292;RLS AGGIORNAMENTO 4 ORE - 2025;;;;;
;Agg.;293;RLS AGGIORNAMENTO 8 ORE 2025;;;;;
;ANTINCENDIO;;;;;;;
;Base;82;ANTINCENDIO - BASE - COMPLETO - RISCHIO MEDIO - 5 ORE;;;;;
;Base;192;ANTINCENDIO RISCHIO BASSO 4 ORE;;;;;
;Agg.;158;ANTINCENDIO - AGGIORNAMENTO - 2 ORE;;;;;
;PRIMO SOCCORSO;;;;;;;
;Base;76;PRIMO SOCCORSO - BASE - COMPLETO - 8 ORE;;;;;
;PRIVACY;;;;;;;
;Base;228;CORSO PRIVACY PER SOGGETTI AUTORIZZATI AL TRATTAMENTO DEI DATI PERSONALI;;;;;
;HACCP;;;;;;;
;Base;290;MODULO A: MODULO ACCESSO ALIMENTARE (M.A.A.);;;;;
;PARITA' DI GENERE;;;;;;;
;Base;291;IL SISTEMA DI GESTIONE DELLA PARITà DI GENERE;;;;;
;HACCP;;;;;;;
;Base;313;CORSO HACCP PROVA 2;;;;;
;NON DEFINITO;;;;;;;
;Base;175;LAVORATORE - FORMAZIONE SPECIFICA - RISCHIO ALTO - 12 ORE;;;;;
;Base;177;DATORE DI LAVORO RSPP - BASE - COMPLETO - RISCHIO ALTO - 48 ORE;;;;;
;Base;180;LAVORATORE - FORMAZIONE SPECIFICA - RISCHIO MEDIO - 8 ORE;;;;;
;Base;185;LAVORATORE - FORMAZIONE GENERALE E SPECIFICA - RISCHIO MEDIO - 12 ORE;;;;;
;Base;187;LAVORATORE - FORMAZIONE GENERALE E SPECIFICA - RISCHIO ALTO - 16 ORE;;;;;
;Base;193;DATORE DI LAVORO RSPP - BASE - COMPLETO - RISCHIO MEDIO - 32 ORE;;;;;
;Base;194;DATORE DI LAVORO RSPP - BASE - COMPLETO - RISCHIO BASSO - 16 ORE;;;;;
;Base;214;CORSO HACCP BASE PER ALIMENTARISTI - 4 ORE (VALIDO REG. LOMBARDIA -TRENTINO-VENETO);;;;;
;Base;217;CORSO DIMOSTRATIVO TUTOR81 2022;;;;;
;Base;231;USO SICURO DEI DISOCIANATI - LIVELLO INTERMEDIO;;;;;
;Base;238;CORSO CYBERSECURITY PER TUTTI;;;;;
;Base;278;CORSO PES PAV PEI - BASE;;;;;
;Base;295;DATORE DI LAVORO - 16 ORE;;;;;
;Agg.;259;CORSO PES PAV PEI - AGG. 4;;;;;
;PERSONALIZZATO;;;;;;;
;Base;198;DIRIGENTE FORMAZIONE BASE PERS;;;;;
;Base;202;CORSO PROVA SLIDE;;;;;
;Base;205;TEST PER SOSTITUIRE VIDEO CON JW;;;;;
;Base;224;MASTROTTO – FORMAZIONE SPECIFICA RISCHIO BASSO;;;;;
;Base;229;CORSO PRIVACY PER SOGG. AUT. AL TRATTAMENTO DEI DATI PERSONALI INOVYN;;;;;
;Base;236;TROPS - FORMAZIONE GDPR 679/16;;;;;
;Base;260;LAVORATORE - FORMAZIONE GENERALE E SPECIFICA - RISCHIO BASSO - 8 ORE - ITALPRESSE;;;;;
;Base;262;FORMAZIONE GENERALE (ITALPRESSE);;;;;
;Base;275;CORSO PROVA DOCUMENTI;;;;;
;Base;283;INOVYN IL SISTEMA DI GESTIONE DELLA PARITà DI GENERE;;;;;
;Base;287;HMODA LA PARITA' DI GENERE IN AZIENDA;;;;;
;Base;298;INOVYN -FORMAZIONE MOG231;;;;;
;Base;300;INOVYN FORMAZIONE MOG231;;;;;
;Base;302;FORMAZIONE GENERALE - 4 ORE - KOMPLETT;;;;;
;Base;310;CORSO PER LA PARITA' DI GENERE;;;;;
;Base;311;CORSO PARITA' DI GENERE REV11;;;;;
;Base;314;CORSO HACCP PROVA 2;;;;;
;Base;315;CORSO HACCP PROVA 3;;;;;
;Base;316;LAVORATORE - F. GENERALE+ SPECIFICA - RISCHIO BASSO - 8 ORE. (COMPARTO SCUOLE);;;;;
;Agg.;199;PRIMO SOCCORSO - AGGIORNAMENTO - 4 ORE;;;;;
;Agg.;215;AGGIORNAMENTO FORMAZIONE LAVORATORE RISCHIO BASSO - MIROGLIO SPA;;;;;
;Agg.;230;BCC - AGGIORNAMENTO LAVORATORE RISCHIO BASSO;;;;;
;Agg.;261;AGGIOR. LAVORATORE - RISCHIO BASSO - 6 ORE - ITALPRESSE;;;;;
